 execution time: 9.98ms; select * from `admins` where `name` = "admin" limit 1

 execution time: 1.38ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.24ms; select * from `role_privilege` where `role_id` = "3"

 execution time: 0.34ms; select * from `privileges` where `id` in ("1", "2", "3", "4", "5", "6", "9", "10", "11", "12", "13", "14") and `type` = "2"

 execution time: 0.21ms; select * from `privilege_group`

 execution time: 1.37ms; select * from `admins` where `id` = "2" limit 1

 execution time: 1.39ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.58ms; select exists(select * from `consume` where `month` = "2019-10") as `exists`

 execution time: 0.27ms; select exists(select * from `consume_detail` where `date` like "%2019-10%") as `exists`

 execution time: 0.46ms; select `category_id`, `month`, `id`, `real_amount` from `consume` where `month` = "2019-10"

 execution time: 0.63ms; select `id`, SUM(real_amount) as real_amount, `month` from `consume` where `month` like "%2019%" group by `month`

 execution time: 0.22ms; select `name`, `id` from `consume_category`

 execution time: 0.33ms; select `id`, SUM(amount) as amount, `date` from `consume_detail` where `date` like "%2019-10%" group by `date`

 execution time: 1.43ms; select * from `admins` where `id` = "2" limit 1

 execution time: 1.43ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.37ms; select count(*) as aggregate from `consume_detail`

 execution time: 0.29ms; select * from `consume_detail` limit 10 offset 0

 execution time: 0.64ms; select `month`, `id`, `category_id` from `consume`

 execution time: 0.23ms; select `id`, `name` from `consume_category`

 execution time: 1.7ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.52ms; select count(*) as aggregate from `consume` where `month` = "2019-10"

 execution time: 0.46ms; select * from `consume` where `month` = "2019-10" limit 20 offset 0

 execution time: 0.25ms; select `name`, `id` from `consume_category`

 execution time: 1.36ms; select * from `admins` where `id` = "2" limit 1

 execution time: 0.45ms; select * from `consume` where `consume`.`id` = "213" limit 1

 execution time: 0.53ms; update `consume` set `amount` = "85179" where `id` = "213"

 execution time: 0.38ms; insert into `consume_detail` (`create_at`, `create_uid`, `name`, `date`, `amount`, `voucher`, `consume_id`, `remark`, `label`) values ("1571726509", "2", "易通行", "2019-10-22", "400", "", "213", "良乡南关——常营", "花呗")

