 execution time: 74.21ms; select `id`, SUM(amount) as amount, `consume_id`, `date` from `consume_detail` group by `consume_id`

 execution time: 4.49ms; select * from `consume` where `consume`.`id` = "1" limit 1

 execution time: 54.73ms; update `consume` set `update_at` = "1572016982" where `id` = "1"

 execution time: 0.67ms; select * from `consume` where `consume`.`id` = "2" limit 1

 execution time: 0.42ms; update `consume` set `update_at` = "1572016982" where `id` = "2"

 execution time: 0.48ms; select * from `consume` where `consume`.`id` = "8" limit 1

 execution time: 0.34ms; update `consume` set `update_at` = "1572016982" where `id` = "8"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "19" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572016982" where `id` = "19"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "27" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572016982" where `id` = "27"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "31" limit 1

 execution time: 0.34ms; update `consume` set `update_at` = "1572016982" where `id` = "31"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "33" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572016982" where `id` = "33"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "126" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572016982" where `id` = "126"

 execution time: 0.48ms; select * from `consume` where `consume`.`id` = "128" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572016982" where `id` = "128"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "164" limit 1

 execution time: 0.34ms; update `consume` set `update_at` = "1572016982" where `id` = "164"

 execution time: 0.48ms; select * from `consume` where `consume`.`id` = "190" limit 1

 execution time: 1.9ms; update `consume` set `update_at` = "1572016982" where `id` = "190"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "202" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572016982" where `id` = "202"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "209" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572016982" where `id` = "209"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "210" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572016982" where `id` = "210"

 execution time: 0.5ms; select * from `consume` where `consume`.`id` = "211" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572016982" where `id` = "211"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "213" limit 1

 execution time: 0.32ms; update `consume` set `update_at` = "1572016982" where `id` = "213"

 execution time: 0.55ms; select * from `consume` where `consume`.`id` = "214" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572016982" where `id` = "214"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "215" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572016982" where `id` = "215"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "219" limit 1

 execution time: 0.35ms; update `consume` set `update_at` = "1572016982" where `id` = "219"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "221" limit 1

 execution time: 1.92ms; update `consume` set `update_at` = "1572016982" where `id` = "221"

 execution time: 0.46ms; select * from `consume` where `consume`.`id` = "223" limit 1

 execution time: 0.33ms; update `consume` set `update_at` = "1572016982" where `id` = "223"

 execution time: 0.47ms; select * from `consume` where `consume`.`id` = "236" limit 1

 execution time: 0.31ms; update `consume` set `update_at` = "1572016982" where `id` = "236"

 execution time: 0.49ms; select * from `consume` where `consume`.`id` = "255" limit 1

 execution time: 0.34ms; update `consume` set `update_at` = "1572016982" where `id` = "255"

